"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","yes","ssp126","Mean temp Feb to April",1987,6.0284967555905
"Bottom","yes","ssp126","Mean temp Feb to April",1988,5.42722670780386
"Bottom","yes","ssp126","Mean temp Feb to April",1989,5.78039652183068
"Bottom","yes","ssp126","Mean temp Feb to April",1990,5.4273436530325
"Bottom","yes","ssp126","Mean temp Feb to April",1991,5.91776160599808
"Bottom","yes","ssp126","Mean temp Feb to April",1992,5.53239996159239
"Bottom","yes","ssp126","Mean temp Feb to April",1993,4.79216828415516
"Bottom","yes","ssp126","Mean temp Feb to April",1994,5.61154532828448
"Bottom","yes","ssp126","Mean temp Feb to April",1995,4.98960080547081
"Bottom","yes","ssp126","Mean temp Feb to April",1996,4.93177304460901
"Bottom","yes","ssp126","Mean temp Feb to April",1997,4.93114658108545
"Bottom","yes","ssp126","Mean temp Feb to April",1998,6.50933576718037
"Bottom","yes","ssp126","Mean temp Feb to April",1999,5.92398251071374
"Bottom","yes","ssp126","Mean temp Feb to April",2000,5.4451557111759
"Bottom","yes","ssp126","Mean temp Feb to April",2001,5.81024940151786
"Bottom","yes","ssp126","Mean temp Feb to April",2002,5.36868483615478
"Bottom","yes","ssp126","Mean temp Feb to April",2003,6.02541803148355
"Bottom","yes","ssp126","Mean temp Feb to April",2004,5.67596360337637
"Bottom","yes","ssp126","Mean temp Feb to April",2005,6.0896056944239
"Bottom","yes","ssp126","Mean temp Feb to April",2006,6.03795819455808
"Bottom","yes","ssp126","Mean temp Feb to April",2007,5.34666789750723
"Bottom","yes","ssp126","Mean temp Feb to April",2008,6.13601182660282
"Bottom","yes","ssp126","Mean temp Feb to April",2009,6.08884772519743
"Bottom","yes","ssp126","Mean temp Feb to April",2010,7.09417166223666
"Bottom","yes","ssp126","Mean temp Feb to April",2011,6.63288414213746
"Bottom","yes","ssp126","Mean temp Feb to April",2012,6.3516037189448
"Bottom","yes","ssp126","Mean temp Feb to April",2013,6.68121920744502
"Bottom","yes","ssp126","Mean temp Feb to April",2014,7.28174413493605
"Bottom","yes","ssp126","Mean temp Feb to April",2015,7.54086487937155
"Bottom","yes","ssp126","Mean temp Feb to April",2016,7.27907810821907
"Bottom","yes","ssp126","Mean temp Feb to April",2017,6.54419324366758
"Bottom","yes","ssp126","Mean temp Feb to April",2018,6.46353394375423
"Bottom","yes","ssp126","Mean temp Feb to April",2019,7.1240529737312
"Bottom","yes","ssp126","Mean temp Feb to April",2020,6.5143932239504
"Bottom","yes","ssp126","Mean temp Feb to April",2021,7.02988438933259
"Bottom","yes","ssp126","Mean temp Feb to April",2022,5.28097805446177
"Bottom","yes","ssp126","Mean temp Feb to April",2023,4.77920356835748
"Bottom","yes","ssp126","Mean temp Feb to April",2024,5.46388946861949
"Bottom","yes","ssp126","Mean temp Feb to April",2025,5.79886697711107
"Bottom","yes","ssp126","Mean temp Feb to April",2026,7.3555358785694
"Bottom","yes","ssp126","Mean temp Feb to April",2027,7.03699354509084
"Bottom","yes","ssp126","Mean temp Feb to April",2028,6.10375749825593
"Bottom","yes","ssp126","Mean temp Feb to April",2029,7.39135509932438
"Bottom","yes","ssp126","Mean temp Feb to April",2030,7.6986498355784
"Bottom","yes","ssp126","Mean temp Feb to April",2031,7.6801483534886
"Bottom","yes","ssp126","Mean temp Feb to April",2032,6.17166288061143
"Bottom","yes","ssp126","Mean temp Feb to April",2033,6.84437045649567
"Bottom","yes","ssp126","Mean temp Feb to April",2034,6.47031189751948
"Bottom","yes","ssp126","Mean temp Feb to April",2035,6.76340097902881
"Bottom","yes","ssp126","Mean temp Feb to April",2036,6.30764980618409
"Bottom","yes","ssp126","Mean temp Feb to April",2037,6.91300359485503
"Bottom","yes","ssp126","Mean temp Feb to April",2038,7.14158881015315
"Bottom","yes","ssp126","Mean temp Feb to April",2039,7.39549194392653
"Bottom","yes","ssp126","Mean temp Feb to April",2040,6.3183323095457
"Bottom","yes","ssp126","Mean temp Feb to April",2041,7.49008355575076
"Bottom","yes","ssp126","Mean temp Feb to April",2042,8.35270023393048
"Bottom","yes","ssp126","Mean temp Feb to April",2043,7.8258356373733
"Bottom","yes","ssp126","Mean temp Feb to April",2044,5.9369075933057
"Bottom","yes","ssp126","Mean temp Feb to April",2045,7.41010598432915
"Bottom","yes","ssp126","Mean temp Feb to April",2046,7.99863658379826
"Bottom","yes","ssp126","Mean temp Feb to April",2047,7.67869234710756
"Bottom","yes","ssp126","Mean temp Feb to April",2048,6.92410602188555
"Bottom","yes","ssp126","Mean temp Feb to April",2049,7.38834951024632
"Bottom","yes","ssp126","Mean temp Feb to April",2050,7.42914507250997
"Bottom","yes","ssp126","Mean temp Feb to April",2051,6.71132899888875
"Bottom","yes","ssp126","Mean temp Feb to April",2052,8.02101151295178
"Bottom","yes","ssp126","Mean temp Feb to April",2053,6.95971210508078
"Bottom","yes","ssp126","Mean temp Feb to April",2054,7.2196559600169
"Bottom","yes","ssp126","Mean temp Feb to April",2055,7.79912298368088
"Bottom","yes","ssp126","Mean temp Feb to April",2056,7.8964053884035
"Bottom","yes","ssp126","Mean temp Feb to April",2057,7.06273003459637
"Bottom","yes","ssp126","Mean temp Feb to April",2058,7.95401013416164
"Bottom","yes","ssp126","Mean temp Feb to April",2059,7.89301931817978
"Bottom","yes","ssp126","Mean temp Feb to April",2060,6.96266940759179
"Bottom","yes","ssp126","Mean temp Feb to April",2061,8.13776879949217
"Bottom","yes","ssp126","Mean temp Feb to April",2062,7.56482182892542
"Bottom","yes","ssp126","Mean temp Feb to April",2063,7.08218031899918
"Bottom","yes","ssp126","Mean temp Feb to April",2064,6.87162724822462
"Bottom","yes","ssp126","Mean temp Feb to April",2065,6.82328402473526
