"","year","month","prod_PhL_biom_month","prod_PhS_biom_month","CGOA_prod_Ph"
"1",1980,1,79.5924337196073,26.0750844828191,52.8337591012132
"2",1980,2,108.330335299504,33.7068911513535,71.0186132254286
"3",1980,3,551.083451633303,94.3776407921589,322.730546212731
"4",1980,4,542.824302742922,117.777167451034,330.300735096978
"5",1980,5,370.124959034478,108.423263388849,239.274111211663
"6",1980,6,382.931070406311,92.2643874022525,237.597728904282
"7",1980,7,386.349505776537,57.0238661889026,221.68668598272
"8",1980,8,319.894338989251,53.4897018209848,186.692020405118
"9",1980,9,277.653475172927,66.4809493646307,172.067212268779
"10",1980,10,197.734555340669,54.328250740338,126.031403040504
"11",1980,11,60.9794100040008,21.6962965589644,41.3378532814826
"12",1980,12,11.6423631087884,6.86253021466319,9.2524466617258
"13",1981,1,12.1244989500388,7.57075331817709,9.84762613410794
"14",1981,2,84.5950712974418,31.2846676763193,57.9398694868806
"15",1981,3,210.976284350838,70.2477043040149,140.611994327426
"16",1981,4,404.469645353507,100.237267945031,252.353456649269
"17",1981,5,273.661709010801,70.5000042333148,172.080856622058
"18",1981,6,298.564217352206,50.7457580310965,174.654987691651
"19",1981,7,275.464393883796,33.918934304557,154.691664094176
"20",1981,8,278.698714305049,34.5599673102652,156.629340807657
"21",1981,9,198.82945691496,31.6714586976381,115.250457806299
"22",1981,10,169.023101175634,46.9218798337279,107.972490504681
"23",1981,11,54.4580381327672,20.0923343819594,37.2751862573633
"24",1981,12,6.182590472475,5.02296736287161,5.60277891767331
"25",1982,1,36.0908292057886,13.4746886970798,24.7827589514342
"26",1982,2,131.107079233942,41.8713478750292,86.4892135544857
"27",1982,3,264.930069423044,75.1208578834232,170.025463653233
"28",1982,4,305.647930619439,93.8124435172466,199.730187068343
"29",1982,5,304.171033985089,71.0837527124023,187.627393348745
"30",1982,6,287.849509170723,43.2937297860424,165.571619478383
"31",1982,7,276.645563247331,27.5598699205159,152.102716583924
"32",1982,8,280.935362767157,24.8238154748632,152.87958912101
"33",1982,9,277.44859045035,32.8764302623685,155.162510356359
"34",1982,10,211.747624914328,39.611919135827,125.679772025077
"35",1982,11,89.4227442802747,24.1031735749039,56.7629589275893
"36",1982,12,11.8054121906248,5.93435432032118,8.86988325547298
"37",1983,1,21.3881463938862,10.0156745919254,15.7019104929058
"38",1983,2,74.078608619117,27.6918163661114,50.8852124926142
"39",1983,3,390.562080920657,88.4072571987973,239.484669059727
"40",1983,4,396.030357684731,109.468865069176,252.749611376953
"41",1983,5,331.950704123618,91.9490398941705,211.949872008894
"42",1983,6,296.775004529263,67.9601833499762,182.367593939619
"43",1983,7,294.082830924631,54.1484517523072,174.115641338469
"44",1983,8,274.284169299891,43.684087243777,158.984128271834
"45",1983,9,227.860119909341,40.7053115074187,134.28271570838
"46",1983,10,209.690150071018,59.737514252027,134.713832161523
"47",1983,11,83.7240551220834,30.2072303804504,56.9656427512669
"48",1983,12,15.3322051255538,8.57496836597509,11.9535867457644
"49",1984,1,17.8591293589628,10.5109595909909,14.1850444749769
