"depthclass","hind","simulation","varname","year","mean_value_dc_610_to_630"
"Bottom","no","ssp126","Mean temp Feb to April",2059,8.16426015515397
"Bottom","no","ssp126","Mean temp Feb to April",2060,7.50158693284788
"Bottom","no","ssp126","Mean temp Feb to April",2061,8.32001222658538
"Bottom","no","ssp126","Mean temp Feb to April",2062,7.92163188358668
"Bottom","no","ssp126","Mean temp Feb to April",2063,7.55774160452162
"Bottom","no","ssp126","Mean temp Feb to April",2064,7.3623554378703
"Bottom","no","ssp126","Mean temp Feb to April",2065,7.31850261950776
"Bottom","no","ssp126","Mean temp Feb to April",2066,8.03820549110699
"Bottom","no","ssp126","Mean temp Feb to April",2067,8.31977001381543
"Bottom","no","ssp126","Mean temp Feb to April",2068,7.8740585942726
"Bottom","no","ssp126","Mean temp Feb to April",2069,7.60495616353635
"Bottom","no","ssp126","Mean temp Feb to April",2070,7.73330872197168
"Bottom","no","ssp126","Mean temp Feb to April",2071,6.98979301283331
"Bottom","no","ssp126","Mean temp Feb to April",2072,8.07991640441603
"Bottom","no","ssp126","Mean temp Feb to April",2073,7.58932498448364
"Bottom","no","ssp126","Mean temp Feb to April",2074,8.54366575900306
"Bottom","no","ssp126","Mean temp Feb to April",2075,8.25643553602708
"Bottom","no","ssp126","Mean temp Feb to April",2076,6.78319791043929
"Bottom","no","ssp126","Mean temp Feb to April",2077,7.17753391063241
"Bottom","no","ssp126","Mean temp Feb to April",2078,7.97599759619594
"Bottom","no","ssp126","Mean temp Feb to April",2079,7.29243221691886
"Bottom","no","ssp126","Mean temp Feb to April",2080,8.01176632658836
"Bottom","no","ssp126","Mean temp Feb to April",2081,7.77409055350954
"Bottom","no","ssp126","Mean temp Feb to April",2082,8.62199700698683
"Bottom","no","ssp126","Mean temp Feb to April",2083,8.49410801223333
"Bottom","no","ssp126","Mean temp Feb to April",2084,7.18540097297645
"Bottom","no","ssp126","Mean temp Feb to April",2085,6.50141736053583
"Bottom","no","ssp126","Mean temp Feb to April",2086,7.55467525416055
"Bottom","no","ssp126","Mean temp Feb to April",2087,7.78843806208946
"Bottom","no","ssp126","Mean temp Feb to April",2088,8.03736671920815
"Bottom","no","ssp126","Mean temp Feb to April",2089,7.93662366151549
"Bottom","no","ssp126","Mean temp Feb to April",2090,8.03602623796102
