"","date","PP"
"1",1980-01-01,1.32743371086017
"2",1980-02-01,1.05135314685619
"3",1980-03-01,1.79812000948469
"4",1980-04-01,1.59860455801355
"5",1980-05-01,1.23508045024285
"6",1980-06-01,1.35053592186742
"7",1980-07-01,1.36076893448635
"8",1980-08-01,1.14786614287454
"9",1980-09-01,1.15480057452488
"10",1980-10-01,1.15093249411467
"11",1980-11-01,0.961265432814364
"12",1980-12-01,1.02797784207112
"13",1981-01-01,1.00325129448776
"14",1981-02-01,0.952719041957233
"15",1981-03-01,0.424662381611947
"16",1981-04-01,1.0107606341098
"17",1981-05-01,0.728338621349934
"18",1981-06-01,0.875849586275684
"19",1981-07-01,0.855522089012468
"20",1981-08-01,0.921146700072079
"21",1981-09-01,0.726313723516911
"22",1981-10-01,1.01474015721847
"23",1981-11-01,0.930626593684467
"24",1981-12-01,1.0004536609793
"25",1982-01-01,1.11588546535558
"26",1982-02-01,1.16802557703835
"27",1982-03-01,0.646485767475309
"28",1982-04-01,0.613899192695279
"29",1982-05-01,0.845583730281612
"30",1982-06-01,0.807346837763019
"31",1982-07-01,0.835997391120311
"32",1982-08-01,0.892867730119048
"33",1982-09-01,1.02731278402702
"34",1982-10-01,1.14828064840574
"35",1982-11-01,1.07759476220487
"36",1982-12-01,1.02509271794168
"37",1983-01-01,1.04740171971951
"38",1983-02-01,0.89951593683424
"39",1983-03-01,1.17031639595302
"40",1983-04-01,1.01374825797855
"41",1983-05-01,1.02901311459602
"42",1983-06-01,0.934014653878033
"43",1983-07-01,1.00200914062598
"44",1983-08-01,0.938905466387824
"45",1983-09-01,0.869846600978605
"46",1983-10-01,1.21641153719557
"47",1983-11-01,1.07912331402343
"48",1983-12-01,1.04834864676932
"49",1984-01-01,1.03596218661748
"50",1984-02-01,1.12291791355439
"51",1984-03-01,0.787065184630053
"52",1984-04-01,0.678385542412765
"53",1984-05-01,0.952035286355641
"54",1984-06-01,0.823031981937589
"55",1984-07-01,0.91780865900394
"56",1984-08-01,0.890976166183345
"57",1984-09-01,0.933662514917349
"58",1984-10-01,0.989469632750331
"59",1984-11-01,0.914429493220704
"60",1984-12-01,1.06510436766305
"61",1985-01-01,1.04509100668978
"62",1985-02-01,1.43464895100394
"63",1985-03-01,0.697862217326669
"64",1985-04-01,1.0306941896282
"65",1985-05-01,0.9561729640205
"66",1985-06-01,1.04528538526762
"67",1985-07-01,1.12928320187529
"68",1985-08-01,1.00610101001462
"69",1985-09-01,0.982507958790887
"70",1985-10-01,0.885190776706051
"71",1985-11-01,0.953021186266806
"72",1985-12-01,1.02455865139851
"73",1986-01-01,1.04300535195426
"74",1986-02-01,1.04716101169081
"75",1986-03-01,0.578950580021011
"76",1986-04-01,0.934111384921123
"77",1986-05-01,1.18834179585196
"78",1986-06-01,0.877467815379546
"79",1986-07-01,1.00983033686283
"80",1986-08-01,0.943228233153254
"81",1986-09-01,1.14402932297088
"82",1986-10-01,0.928887833400102
"83",1986-11-01,1.09280738987233
"84",1986-12-01,1.03651250545004
"85",1987-01-01,1.05673944933558
"86",1987-02-01,1.11922308915358
"87",1987-03-01,0.419974292117799
"88",1987-04-01,1.12253344670761
"89",1987-05-01,1.20050032166973
"90",1987-06-01,1.22514061853913
"91",1987-07-01,1.11213795626899
"92",1987-08-01,0.979525239613626
"93",1987-09-01,1.18578233537923
"94",1987-10-01,1.10027158457871
"95",1987-11-01,0.959762672218219
"96",1987-12-01,1.02371026565266
"97",1988-01-01,1.0108203258218
"98",1988-02-01,1.03659028695832
"99",1988-03-01,0.663431719994952
"100",1988-04-01,0.659746169960878
"101",1988-05-01,0.991424527598552
"102",1988-06-01,0.923093105878103
"103",1988-07-01,0.97274745587151
"104",1988-08-01,0.902114116561479
"105",1988-09-01,0.853388638656303
"106",1988-10-01,0.948824845586089
"107",1988-11-01,0.885317948981868
"108",1988-12-01,1.05649211902892
"109",1989-01-01,0.991185142103266
"110",1989-02-01,0.880358439272538
"111",1989-03-01,0.713049824790287
"112",1989-04-01,0.747506992690899
"113",1989-05-01,1.19018194146324
"114",1989-06-01,0.80118168365676
"115",1989-07-01,0.811108674387829
"116",1989-08-01,0.642263855111582
"117",1989-09-01,0.680719800624496
"118",1989-10-01,0.819074740115395
"119",1989-11-01,0.965325814558687
"120",1989-12-01,1.05583938170454
"121",1990-01-01,1.02230179009315
"122",1990-02-01,1.1318808053648
"123",1990-03-01,0.512089984933409
"124",1990-04-01,1.22827275075692
"125",1990-05-01,0.898498408225738
"126",1990-06-01,1.07483805404727
"127",1990-07-01,1.04293376535156
"128",1990-08-01,1.16672489413343
"129",1990-09-01,1.25733017833599
"130",1990-10-01,1.34469736383895
"131",1990-11-01,1.12602407352736
"132",1990-12-01,1.06416872030303
"133",1991-01-01,1.04711016979583
"134",1991-02-01,0.968966320758997
"135",1991-03-01,0.839075960590077
"136",1991-04-01,0.766717994001802
"137",1991-05-01,0.870556092574748
"138",1991-06-01,0.791520007086628
"139",1991-07-01,0.934474935951478
"140",1991-08-01,1.02595553548787
"141",1991-09-01,0.742123722172493
"142",1991-10-01,1.14170636524507
"143",1991-11-01,0.973028846200194
"144",1991-12-01,1.0497043800822
"145",1992-01-01,1.04850045833823
"146",1992-02-01,1.04796563890535
"147",1992-03-01,0.631218686490745
"148",1992-04-01,1.1344811926985
"149",1992-05-01,0.993303610945657
"150",1992-06-01,1.10802284115852
"151",1992-07-01,0.71463698872193
"152",1992-08-01,0.782155208675878
"153",1992-09-01,0.823430859819195
"154",1992-10-01,1.1879466700494
"155",1992-11-01,0.944054091509082
